Député,Parti.polituque,Région,Nombre.de.voix,Rang.dans.la.liste
Ghazi Chaouachi,Bloc Démocrate,Ben Arous,7226,1
Ridha Charfeddine,Mouvement Nidaa Tounes,Sousse,102604,1
Abderraouf Chebbi,Union Patriotique Libre,Tozeur,1729,1
Abderraouf Cherif,Mouvement Nidaa Tounes,Tozeur,4845,1
Abdennaceur Chouikh,Mouvement Nidaa Tounes,Tunis 1,60295,2
Abderrazak Chraiet,
				,Tozeur,5111,1
Imed Daimi,Bloc Démocrate,Medenine,6305,1
Sameh Dammak,Mouvement Nidaa Tounes,Sfax 1,42864,2
Jamila Debbech,Mouvement Ennahdha,Ariana,42459,2
Sabri Dekhil,Bloc Démocrate,Gabès,5289,1
Ridha Dellai,Bloc Démocrate,Beja,7598,1
Kamel Dhaouadi,Mouvement Nidaa Tounes,France 2,12987,1
Samir Dilou,Mouvement Ennahdha,Bizerte,43437,3
Belgacem Dkhili,Mouvement Nidaa Tounes,Jendouba,34484,1
Lamia Dridi,Mouvement Nidaa Tounes,Bizerte,8767,2
Noomane El Euch,Bloc Démocrate,Sfax 1,4657,1
Mohamed El Hamdi,Bloc Social-Démocrate,Sidi Bouzid,11806,1
Abderraouf El May,Mouvement Nidaa Tounes,Pays arabes et reste du monde,4451,1
Bechir Ellazzem,Mouvement Ennahdha,Bizerte,43437,1
Mohamed Ennaceur,Mouvement Nidaa Tounes,Mahdia,50448,1
Marouan Falfel,Mouvement Nidaa Tounes,France 1,15406,3
Tahar Fdhil,Union Patriotique Libre,Medenine,4392,1
Tarek Fetiti,Union Patriotique Libre,Kairouan,5900,1
Sami Fetnassi,Mouvement Ennahdha,Beja,16874,1
Chahida Fraj,Mouvement Ennahdha,Monastir,37815,2
Mohamed Frikha,Mouvement Ennahdha,Sfax 2,57994,1
Mohamed Ghannem,Afek Tounes et l'appel des tunisiens à l'étranger,France 1,2246,1
Lamia Gharbi,Mouvement Nidaa Tounes,Nabeul 1,73739,5
Mohamed Jalel Ghedira,Mouvement Nidaa Tounes,Monastir,104221,1
Sabrine Goubantini,Mouvement Nidaa Tounes,Ariana,82769,4
Mahmoud Gouiaa,Mouvement Ennahdha,Kairouan,39300,1
Mohamed Hedi Gueddich,Mouvement Nidaa Tounes,Sfax 1,42864,1
Latifa Habachi,Mouvement Ennahdha,La Manouba,33064,2
Adnane Hajji,Bloc Social-Démocrate,Gafsa,5236,1
Mourad Hamaidi,Front Populaire,Le Kef,5020,1
Mounir Hamdi,Mouvement Nidaa Tounes,Beja,30457,1
Jilani Hammami,Front Populaire,Siliana,6562,1
Hela Hammi,Mouvement Ennahdha,Ben Arous,61420,2
Leila Hamrouni,Mouvement Nidaa Tounes,Ariana,82769,2
Mohamed Kamel Hamzaoui,Mouvement Nidaa Tounes,Kasserine,28362,1
Mongi Harbaoui,Mouvement Nidaa Tounes,Le Kef,34885,3
Kamel Harraghi,Union Patriotique Libre,Le Kef,3069,1
Ons Hattab,Mouvement Nidaa Tounes,Kairouan,33513,2
Karim Helali,Afek Tounes et l'appel des tunisiens à l'étranger,Ariana,6266,1
Mabrouk Hrizi,Bloc Démocrate,Kasserine,2938,1
Zohra Idriss,Mouvement Nidaa Tounes,Sousse,102604,2
Riadh Jaidane,Afek Tounes et l'appel des tunisiens à l'étranger,France 2,1814,1
Walid Jalled,Mouvement Nidaa Tounes,Nabeul 2,60247,3
Naoufel Jammali,Mouvement Ennahdha,Sidi Bouzid,18990,1
Houcine Jaziri,Mouvement Ennahdha,France 1,11533,2
Mohamed Ennaceur Jbira,Mouvement Nidaa Tounes,Kairouan,33513,3
Ibtissem Jebabli,Mouvement Nidaa Tounes,Tunis 1,60295,3
Basma Jebali,Mouvement Ennahdha,Medenine,68795,2
Taoufik Jemli,Union Patriotique Libre,Ben Arous,12935,1
Neji Jmal,Mouvement Ennahdha,France 2,8134,1
Jamila Jouini,Mouvement Ennahdha,Tataouine,22770,2
Olfa Jouini,Union Patriotique Libre,Tunis 1,13714,2
Youssef Jouini,Union Patriotique Libre,Ariana,9144,1
Mohamed Amine Kahloul,Union Patriotique Libre,Gabès,6269,1
Mahmoud Kahri,Union Patriotique Libre,Kasserine,3441,1
Abada Kefi,Mouvement Nidaa Tounes,Le Kef,34885,1
Safia Khalfi,Mouvement Ennahdha,Kasserine,23650,2
Hmed Khaskhoussi,Bloc Social-Démocrate,Sidi Bouzid,2774,1
Habib Khedher,Mouvement Ennahdha,Gabès,58152,3
Faycel Khelifa,Mouvement Nidaa Tounes,Sousse,102604,5
Bechir Khelifi,Mouvement Ennahdha,Tataouine,22770,1
Imed Khemiri,Mouvement Ennahdha,La Manouba,33064,1
Mohamed Ramzi Khmiss,Mouvement Nidaa Tounes,Zaghouan,18216,1
Abdelaziz Kotti,Mouvement Nidaa Tounes,Ariana,82769,1
Soulef Ksantini,Mouvement Ennahdha,Sfax 1,49609,2
Khemais Ksila,Mouvement Nidaa Tounes,Nabeul 2,60247,1
Ferida Laabidi,Mouvement Ennahdha,Kairouan,39300,2
Meherzia Laabidi,Mouvement Ennahdha,Nabeul 2,23434,1
Heger Laaroussi,Mouvement Nidaa Tounes,Sfax 2,70081,2
Salem Labiadh,Bloc Démocrate,Medenine,4686,1
Mohamed Lakhdhar Lajili,Mouvement Ennahdha,Tozeur,10164,1
Zied Lakhdhar,Front Populaire,Ben Arous,9534,1
Ali Laraiedh,Mouvement Ennahdha,Tunis 1,53343,1
Ameur Laraiedh,Mouvement Ennahdha,Medenine,68795,1
Lajmi Lourimi,Mouvement Ennahdha,Sousse,50820,3
Maher Madhioub,Mouvement Ennahdha,Pays arabes et reste du monde,4333,1
Zouhair Maghzaoui,Bloc Démocrate,Kebili,8489,1
Mohamed Mahjoub,Mouvement Ennahdha,Ben Arous,61420,3
Rim Mahjoub,Afek Tounes et l'appel des tunisiens à l'étranger,Mahdia,10915,2
Wafa Makhlouf,Mouvement Nidaa Tounes,Ben Arous,84359,2
Issam Matoussi,Mouvement Nidaa Tounes,Beja,30457,3
Ahmed Mechergui,Mouvement Ennahdha,Jendouba,19829,1
Taieb Medni,Mouvement Nidaa Tounes,Tataouine,2672,1
Abdellatif Mekki,Mouvement Ennahdha,Le Kef,12672,1
Sana Mersni,Mouvement Ennahdha,Jendouba,19829,2
Lamia Mlayah,Mouvement Nidaa Tounes,Amérique et reste de l'Europe,7068,1
Ikram Moulahi,Mouvement Nidaa Tounes,Kasserine,28362,2
Abdelfattah Mourou,Mouvement Ennahdha,Tunis 2,42250,1
Noureddine Mrabti,Union Patriotique Libre,Siliana,3362,1
Fatma Mseddi,Mouvement Nidaa Tounes,Sfax 2,70081,4
Lotfi Nabli,Mouvement Nidaa Tounes,Monastir,104221,5
Brahim Nacef,Mouvement Nidaa Tounes,Bizerte,56968,3
Hassouna Nasfi,Mouvement Nidaa Tounes,Gabès,19821,1
Hela Omrane,Mouvement Nidaa Tounes,Monastir,104221,2
Hayet Omri,Mouvement Ennahdha,Sidi Bouzid,18990,2
Taoufik Ouali,Mouvement Nidaa Tounes,Bizerte,56968,5
Abdelouahab Ouerfelli,Allégeance à la Patrie,Siliana,4153,3
Leila Oueslati,Mouvement Ennahdha,Mahdia,24865,2
Leila Ouled Ali,Mouvement Nidaa Tounes,Tunis 1,60295,1
Imed Ouled Jebril,Mouvement Nidaa Tounes,Mahdia,50448,3
Mohamed Rachdi Bouguerra,Mouvement Nidaa Tounes,Kasserine,28362,3
Mongi Rahoui,Front Populaire,Jendouba,6386,1
Zouhair Rejbi,Mouvement Ennahdha,Siliana,10057,1
Najla Saadaoui,Mouvement Nidaa Tounes,Beja,30457,2
Mohamed Saidane,Mouvement Nidaa Tounes,Monastir,104221,3
Ahmed Saidi,Bloc Social-Démocrate,Sousse,8626,1
Sana Salhi,Mouvement Nidaa Tounes,Siliana,16618,2
Ahmed Seddik,Front Populaire,Tunis 1,5321,1
Moncef Sellami,Mouvement Nidaa Tounes,Sfax 2,70081,1
Mohamed Sidhom,Mouvement Ennahdha,Nabeul 1,29368,1
Houda Slim,Mouvement Nidaa Tounes,Tunis 2,115045,6
Mohamed Mohsen Soudani,Mouvement Ennahdha,Gafsa,28265,1
Amal Souid,Mouvement Ennahdha,Gabès,58152,2
Olfa Soukri,Mouvement Nidaa Tounes,Ben Arous,84359,4
Hedi Soula,Mouvement Ennahdha,Kairouan,39300,3
Karima  Taggaz,Mouvement Ennahdha,France 1,11533,3
Nawel Tayech,Mouvement Nidaa Tounes,Sousse,102604,4
Faycel Tebini,Bloc Social-Démocrate,Jendouba,2273,1
Houda Tekaya,Mouvement Nidaa Tounes,La Manouba,38009,2
Rim Thairi,Bloc Social-Démocrate,Kairouan,3125,1
Mohamed Nejib Torjmane,Mouvement Nidaa Tounes,La Manouba,38009,3
Sofien Toubel,Mouvement Nidaa Tounes,Gafsa,21821,1
Radhia Toumi,Mouvement Ennahdha,Gabès,58152,4
Mohamed Troudi,Mouvement Nidaa Tounes,Ben Arous,84359,3
Dorra Yaacoubi,Union Patriotique Libre,Jendouba,4084,1
Hssine Yahyaoui,Mouvement Ennahdha,Tataouine,22770,3
Lilia Younes Ksibi,Afek Tounes et l'appel des tunisiens à l'étranger,Nabeul 1,7135,2
Leila Zahaf,Mouvement Nidaa Tounes,Zaghouan,18216,2
Nadia Zangar,Mouvement Nidaa Tounes,Nabeul 1,73739,3
Souad Zaouali,Mouvement Nidaa Tounes,Mahdia,50448,2
Ridha Zghondi,Union Patriotique Libre,Zaghouan,3564,1
Yamina Zoghlami,Mouvement Ennahdha,Tunis 1,53343,2
Hafedh Zouari,Afek Tounes et l'appel des tunisiens à l'étranger,Sousse,12360,1
Amira Zoukari,Mouvement Nidaa Tounes,Ben Arous,84359,5
Mohamed Zrig,Mouvement Ennahdha,Gabès,58152,1
Leila ِChettaoui Bougatef,Mouvement Nidaa Tounes,Tunis 2,115045,4
