Député,Parti.politique,Région,Nombre.de.voix,Rang.dans.la.liste,Age,Profession,Bloc
Sameh Dammak,Mouvement Nidaa Tounes,Sfax 1,42864,2,44,Chef d'entreprise,Mouvement Nidaa Tounes
Sami Fetnassi,Mouvement Ennahdha,Beja,16874,1,53,Cadre supérieur dans le secteur privé,Mouvement Ennahdha
Samia Abbou,Bloc Démocrate,Tunis 1,5404,1,52,Avocat,Bloc Démocrate
Samir Dilou,Mouvement Ennahdha,Bizerte,43437,3,51,Avocat,Mouvement Ennahdha
Sana Mersni,Mouvement Ennahdha,Jendouba,19829,2,33,Avocat,Mouvement Ennahdha
Sana Salhi,Mouvement Nidaa Tounes,Siliana,16618,2,30,Enseignant du secondaire,Mouvement Nidaa Tounes
Slim Besbes,Mouvement Ennahdha,Sfax 1,49609,3,54,Enseignant universitaire,Mouvement Ennahdha
Sofien Toubel,Mouvement Nidaa Tounes,Gafsa,21821,1,42,Enseignant du secondaire,Mouvement Nidaa Tounes
Souad Bayouli,Front Populaire,Sfax 2,5991,1,53,Enseignant du secondaire,Front Populaire
Souad Zaouali,Mouvement Nidaa Tounes,Mahdia,50448,2,62,Cadre supérieur dans la fonction publique,Bloc National
Souhail Alouini,Mouvement Nidaa Tounes,Kairouan,33513,1,61,Médecin ,Bloc Al Horra du Mouvement Machrouu Tounes
Soulef Ksantini,Mouvement Ennahdha,Sfax 1,49609,2,48,Enseignant du secondaire,Mouvement Ennahdha
Tahar Fdhil,Union Patriotique Libre,Medenine,4392,1,54,Avocat,Mouvement Nidaa Tounes
Taieb Medni,Mouvement Nidaa Tounes,Tataouine,2672,1,52,Avocat,Mouvement Nidaa Tounes
Taoufik Jemli,Union Patriotique Libre,Ben Arous,12935,1,47,Instituteur enseignement de base,Allégeance à la Patrie
Taoufik Ouali,Mouvement Nidaa Tounes,Bizerte,56968,5,0,,Bloc Al Horra du Mouvement Machrouu Tounes
Tarek Barrak,Front Populaire,Kairouan,4830,1,64,Retraité,Front Populaire
Tarek Fetiti,Union Patriotique Libre,Kairouan,5900,1,45,Cadre supérieur dans la fonction publique,Union Patriotique Libre
Wafa Attia,Mouvement Ennahdha,Sousse,50820,4,0,,Mouvement Ennahdha
Wafa Makhlouf,Mouvement Nidaa Tounes,Ben Arous,84359,2,42,Chef d'entreprise,Mouvement Nidaa Tounes
Walid Banneni,Mouvement Ennahdha,Kasserine,23650,1,61,Fonctionnaire dans le secteur privé,Mouvement Ennahdha
Walid Jalled,Mouvement Nidaa Tounes,Nabeul 2,60247,3,41,Fonctionnaire dans le secteur privé,Bloc National
Yamina Zoghlami,Mouvement Ennahdha,Tunis 1,53343,2,48,Enseignant du secondaire,Mouvement Ennahdha
Yassine Ayari,,,NA,NA,0,,Aucun bloc
Youssef Jouini,Union Patriotique Libre,Ariana,9144,1,55,Fonctionnaire publique,Aucun bloc
Zeineb Brahmi,Mouvement Ennahdha,Gafsa,28265,2,33,Avocat,Mouvement Ennahdha
Zied Lakhdhar,Front Populaire,Ben Arous,9534,1,55,Enseignant du secondaire,Front Populaire
Zohra Idriss,Mouvement Nidaa Tounes,Sousse,102604,2,59,Chef d'entreprise,Mouvement Nidaa Tounes
Zouhair Maghzaoui,Bloc Démocrate,Kebili,8489,1,52,Enseignant du secondaire,Bloc Démocrate
Zouhair Rejbi,Mouvement Ennahdha,Siliana,10057,1,58,Cadre dans la fonction publique,Mouvement Ennahdha
