,Date,url,Section,Titre,Article
20,29 Mars 2018 19:09,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315951/reunion-vendredi-du-bureau-de-l-arp,Politique,Réunion vendredi du bureau de l'ARP,"Réunis jeudi après-midi au siège de l'Assemblée des représentants du peuple (ARP), les présidents des blocs parlementaires ont décidé de tenir une réunion de bureau, vendredi, pour se pencher sur les préparatifs de la séance plénière prévue lundi prochain et qui sera consacrée au projet de loi relatif aux institutions émergentes, a déclaré, Salem Labyedh, président du groupe démocratique.   Il a été aussi convenu d'organiser une séance plénière le 3 avril prochain pour l'examen et l'adoption, article par article, du projet de loi relatif au code des collectivités locales. Cette séance permettra à la commission des compromis de trancher la question des propositions d'amendement et des articles litigieux dudit code, selon la même source.   Convoquée par le président de l'ARP Mohamed Ennaceur, cette réunion, a indiqué Labyedh, intervient suite à la proposition des membres du bureau de l'ARP d'organiser une réunion en urgence au vu de la confusion qui a accompagné les travaux du parlement au sujet de la prolongation ou non du mandat de l'Instance Vérité et Dignité (IVD).   La séance plénière consacrée à l’examen article par article du code des collectivités locales avait démarré ce jeudi à 10h00, en présence du ministre des Affaires locales et de l'Environnement, Riadh Mouakher, et du Secrétaire d'Etat, Chokri Belhassan.   Le premier vice-président de l'ARP, Abdelfattah Mourou, a levé la plénière de ce jeudi après s'être concerté avec les présidents des différents blocs parlementaires. Ces derniers ont estimé que la séance ne pouvait pas se poursuivre en l'absence des conditions juridiques et procédurales et convenu de lever la séance pour permettre à la commission des compromis de parachever ses travaux."
21,29 Mars 2018 19:09,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315951/reunion-vendredi-du-bureau-de-l-arp,Politique,Réunion vendredi du bureau de l'ARP,"Réunis jeudi après-midi au siège de l'Assemblée des représentants du peuple (ARP), les présidents des blocs parlementaires ont décidé de tenir une réunion de bureau, vendredi, pour se pencher sur les préparatifs de la séance plénière prévue lundi prochain et qui sera consacrée au projet de loi relatif aux institutions émergentes, a déclaré, Salem Labyedh, président du groupe démocratique.   Il a été aussi convenu d'organiser une séance plénière le 3 avril prochain pour l'examen et l'adoption, article par article, du projet de loi relatif au code des collectivités locales. Cette séance permettra à la commission des compromis de trancher la question des propositions d'amendement et des articles litigieux dudit code, selon la même source.   Convoquée par le président de l'ARP Mohamed Ennaceur, cette réunion, a indiqué Labyedh, intervient suite à la proposition des membres du bureau de l'ARP d'organiser une réunion en urgence au vu de la confusion qui a accompagné les travaux du parlement au sujet de la prolongation ou non du mandat de l'Instance Vérité et Dignité (IVD).   La séance plénière consacrée à l’examen article par article du code des collectivités locales avait démarré ce jeudi à 10h00, en présence du ministre des Affaires locales et de l'Environnement, Riadh Mouakher, et du Secrétaire d'Etat, Chokri Belhassan.   Le premier vice-président de l'ARP, Abdelfattah Mourou, a levé la plénière de ce jeudi après s'être concerté avec les présidents des différents blocs parlementaires. Ces derniers ont estimé que la séance ne pouvait pas se poursuivre en l'absence des conditions juridiques et procédurales et convenu de lever la séance pour permettre à la commission des compromis de parachever ses travaux."
22,29 Mars 2018 19:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315946/lassaad-yacoubi-pas-de-negociations-sous-les-menaces,Politique,Lassaad Yacoubi : pas de négociations sous les menaces,"Le secrétaire général de la fédération générale de l'enseignement secondaire, Lasaad Yaacoubi a qualifié, jeudi, d'""inadmissible"" la condition posée par le ministre de l'Education de ne reprendre les négociations que lorsque les notes seront remises à l'administration, soulignant que son syndicat refuse de négocier sous les menaces.   ""Cette décision ne sera révisée que si un accord sera conclu"", a-t-il ajouté dans une déclaration en marge d'une conférence tenue à Hammamet sur ""La réalité de la fonction publique et de la gouvernance"".   Il a appelé le ministre de l'Education à engager des négociations ""sérieuses"" avec la fédération sans émettre aucune condition, mettant en garde contre la possibilité de voir cette crise s'accentuer davantage.    Le responsable syndical a ajouté que le ministère de l'éducation a choisi l'escalade, notamment après les récentes déclarations du ministre, affirmant que les menaces du ministre ou du chef du gouvernement de suspendre les salaires n’intimident aucunement les enseignants.   ""Si jamais cette décision indécente est prise, il y aura de lourdes conséquences"", a-t-il prévenu, ajoutant que le ministre et le chef du gouvernement poussent le syndicat à décréter une année blanche.   Il a indiqué que les structures syndicales se réuniront à la fin de cette semaine afin de discuter des décisions à prendre si jamais la décision de suspendre les salaires est prise.      "
23,29 Mars 2018 19:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315946/lassaad-yacoubi-pas-de-negociations-sous-les-menaces,Politique,Lassaad Yacoubi : pas de négociations sous les menaces,"Le secrétaire général de la fédération générale de l'enseignement secondaire, Lasaad Yaacoubi a qualifié, jeudi, d'""inadmissible"" la condition posée par le ministre de l'Education de ne reprendre les négociations que lorsque les notes seront remises à l'administration, soulignant que son syndicat refuse de négocier sous les menaces.   ""Cette décision ne sera révisée que si un accord sera conclu"", a-t-il ajouté dans une déclaration en marge d'une conférence tenue à Hammamet sur ""La réalité de la fonction publique et de la gouvernance"".   Il a appelé le ministre de l'Education à engager des négociations ""sérieuses"" avec la fédération sans émettre aucune condition, mettant en garde contre la possibilité de voir cette crise s'accentuer davantage.    Le responsable syndical a ajouté que le ministère de l'éducation a choisi l'escalade, notamment après les récentes déclarations du ministre, affirmant que les menaces du ministre ou du chef du gouvernement de suspendre les salaires n’intimident aucunement les enseignants.   ""Si jamais cette décision indécente est prise, il y aura de lourdes conséquences"", a-t-il prévenu, ajoutant que le ministre et le chef du gouvernement poussent le syndicat à décréter une année blanche.   Il a indiqué que les structures syndicales se réuniront à la fin de cette semaine afin de discuter des décisions à prendre si jamais la décision de suspendre les salaires est prise.      "
24,29 Mars 2018 16:16,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315801/bce-recoit-les-lettres-de-creance-de-3-ambassadeurs-accredites-a-tunis,Politique,BCE reçoit les lettres de créance de 3 ambassadeurs accrédités à Tunis,"Le Président de la République Béji Caïd Essebsi a reçu les lettres de créance de trois ambassadeurs de pays frères et amis, nouvellement accrédités à Tunis, ce jeudi 29 mars 2018 à Carthage. Il s'agit de :   - Majed Abderridha Hassan El-Lajmaoui, ambassadeur d'Irak à Tunis,   - Gertrudis Nsang Ndong Nsuga, ambassadrice de Guinée équatoriale à Tunis,   - Lorenzo Fanara, ambassadeur d'Italie à Tunis.  "
25,29 Mars 2018 16:16,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315801/bce-recoit-les-lettres-de-creance-de-3-ambassadeurs-accredites-a-tunis,Politique,BCE reçoit les lettres de créance de 3 ambassadeurs accrédités à Tunis,"Le Président de la République Béji Caïd Essebsi a reçu les lettres de créance de trois ambassadeurs de pays frères et amis, nouvellement accrédités à Tunis, ce jeudi 29 mars 2018 à Carthage. Il s'agit de :   - Majed Abderridha Hassan El-Lajmaoui, ambassadeur d'Irak à Tunis,   - Gertrudis Nsang Ndong Nsuga, ambassadrice de Guinée équatoriale à Tunis,   - Lorenzo Fanara, ambassadeur d'Italie à Tunis.  "
26,29 Mars 2018 00:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315406/mae-30-tunisiens-bloques-en-syrie,Politique,MAE : 30 tunisiens bloqués en Syrie,"Le directeur des affaires du consulat Chahir Jobbi a précisé lors d'une séance d'écoute au parlement que les autorités turques ont expatrié de 2015 à 2018 54 tunisiens revenus des zones de tensions. Certains cas n'ont pas été signalés auprès du consulat.    23 tunisiens sont actuellement détenus dans des camps dirigés par les forces syriennes démocrates et l'armée libre à ""Nizaa"" au nord de la Syrie. Le consulat a pu établir une liste des 30 retenus. "
27,29 Mars 2018 00:03,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315406/mae-30-tunisiens-bloques-en-syrie,Politique,MAE : 30 tunisiens bloqués en Syrie,"Le directeur des affaires du consulat Chahir Jobbi a précisé lors d'une séance d'écoute au parlement que les autorités turques ont expatrié de 2015 à 2018 54 tunisiens revenus des zones de tensions. Certains cas n'ont pas été signalés auprès du consulat.    23 tunisiens sont actuellement détenus dans des camps dirigés par les forces syriennes démocrates et l'armée libre à ""Nizaa"" au nord de la Syrie. Le consulat a pu établir une liste des 30 retenus. "
28,28 Mars 2018 23:31,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315381/le-secretaire-du-mae-entendu-par-la-commission-d-enquete-parlementaire,Politique,Le secrétaire du MAE entendu par la commission d'enquête parlementaire,"Le secrétaire d'Etat aux affaires étrangères, Sabri Bachtobji, a mis l'accent sur l'importance des actions communes des différentes parties prenantes dans le dossier des réseaux d'enrôlement des Tunisiens pour rallier les zones de tension et de guerre ""afin d'obtenir des renseignements permettant de dévoiler la vérité sur ce dossier et demander des comptes aux responsable de ses réseaux "".   Sabri Bachtobji a souligné lors de son audition mercredi après-midi par la commission d'enquête parlementaire sur ces filières la disposition de son département à examiner les formes possibles de collecte de renseignements auprès des parties responsables étrangères, à l'instar des résultats des enquêtes avec 43 détenus dans les prisons syriennes et 12 autres dans les prisons irakiennes, dont 5 condamnés à mort.   ""La commission d'enquête peut prendre connaissance de ses renseignements si les autorités officielles tunisiennes les obtiennent de leurs homologues des pays concernés, notamment la Syrie, l'Irak, la Libye et l'Union Européenne, afin de l'aider à mener à bien sa mission d'investigations dans ce dossier"", a-t-il indiqué.   Il a précisé que les renseignements sur le nombre des personnes ayant rejoint les zones de tension, combattu dans des zones de guerre et ceux qui ont regagné le pays ou ayant été contraints de rester dans ces zones sont généralement en possession des services de sécurité du ministère de l'intérieur. Le secrétaire d'Etat a averti à cet égard sur les retombées des déclarations officielles concernant les chiffres (de personnes embrigadées) sur l'image du pays, sur le tourisme et sur l'investissement."
29,28 Mars 2018 23:31,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/315381/le-secretaire-du-mae-entendu-par-la-commission-d-enquete-parlementaire,Politique,Le secrétaire du MAE entendu par la commission d'enquête parlementaire,"Le secrétaire d'Etat aux affaires étrangères, Sabri Bachtobji, a mis l'accent sur l'importance des actions communes des différentes parties prenantes dans le dossier des réseaux d'enrôlement des Tunisiens pour rallier les zones de tension et de guerre ""afin d'obtenir des renseignements permettant de dévoiler la vérité sur ce dossier et demander des comptes aux responsable de ses réseaux "".   Sabri Bachtobji a souligné lors de son audition mercredi après-midi par la commission d'enquête parlementaire sur ces filières la disposition de son département à examiner les formes possibles de collecte de renseignements auprès des parties responsables étrangères, à l'instar des résultats des enquêtes avec 43 détenus dans les prisons syriennes et 12 autres dans les prisons irakiennes, dont 5 condamnés à mort.   ""La commission d'enquête peut prendre connaissance de ses renseignements si les autorités officielles tunisiennes les obtiennent de leurs homologues des pays concernés, notamment la Syrie, l'Irak, la Libye et l'Union Européenne, afin de l'aider à mener à bien sa mission d'investigations dans ce dossier"", a-t-il indiqué.   Il a précisé que les renseignements sur le nombre des personnes ayant rejoint les zones de tension, combattu dans des zones de guerre et ceux qui ont regagné le pays ou ayant été contraints de rester dans ces zones sont généralement en possession des services de sécurité du ministère de l'intérieur. Le secrétaire d'Etat a averti à cet égard sur les retombées des déclarations officielles concernant les chiffres (de personnes embrigadées) sur l'image du pays, sur le tourisme et sur l'investissement."
